"tag","authorId","smellName","file","classDataShouldBePrivate","complexClass","functionalDecomposition","godClass","spaghettiCode","hasLongMethods"
"3944b1294a315d8d7d65bdd1e2d78e6da44f3ec2",2546,"missing.links","src/main/org/apache/tools/tar/TarEntry.java",0,0,0,1,1,0
"3944b1294a315d8d7d65bdd1e2d78e6da44f3ec2",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Tar.java",0,0,0,1,1,1
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSS.java",0,0,0,1,1,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Zip.java",0,1,0,1,1,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/types/AbstractFileSet.java",0,0,0,1,1,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/AntClassLoader.java",0,1,0,1,1,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Concat.java",0,0,0,1,1,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Jar.java",0,0,0,1,1,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2555,"org.silo","src/main/org/apache/tools/ant/util/JavaEnvUtils.java",1,0,0,1,0,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2555,"missing.links","src/main/org/apache/tools/ant/util/JavaEnvUtils.java",1,0,0,1,0,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTask.java",0,1,0,1,1,1
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/Javac.java",0,1,0,1,1,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/util/JavaEnvUtils.java",1,0,0,1,0,0
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter.java",0,0,0,1,1,1
"8213fe8a0ad102d8a09c3e1562c36e59077bd745",2546,"missing.links","src/main/org/apache/tools/ant/Project.java",1,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"radiosilence","src/main/org/apache/tools/ant/Main.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/Main.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"radiosilence","src/main/org/apache/tools/ant/util/FileUtils.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/util/FileUtils.java",0,1,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"radiosilence","src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"radiosilence","src/main/org/apache/tools/zip/ZipFile.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"missing.links","src/main/org/apache/tools/zip/ZipFile.java",0,0,0,1,1,0
"de61fa6f3c9ebdb346bdd0d2dd9a86d00bddc63a",2546,"radiosilence","src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTaskMirrorImpl.java",0,0,0,1,1,0
